"Port";"Description"
68;"Bootstrap Protocol (BOOTP) client, also used by Dynamic Host Configuration Protocol (DHCP)"
69;"Trivial File Transfer Protocol (TFTP)"
70;"Gopher protocol"
71;"NETRJS protocol"
72;"NETRJS protocol"
73;"NETRJS protocol"
74;"NETRJS protocol"
76;"deos (Distributed External Object Store)"
78;"vettcp (vettcp)"
79;"Finger protocol"
80;"Hypertext Transfer Protocol (HTTP)"
81;"TorPark onion routing"
82;"xfer (XFER Utility)"
83;"mit-ml-dev (MIT ML Device)"
84;"ctf (Common Trace Facility)"
85;"mit-ml-dev (MIT ML Device)"
86;"mfcobol (Micro Focus Cobol)"
88;"Kerberos authentication system"
89;"su-mit-tg (SU/MIT Telnet Gateway)"
90;"dnsix (DNSIX Security Attribute Token Map)"
90;"PointCast (dotcom)"
91;"mit-dov (MIT Dover Spooler)"
92;"npp (Network Printing Protocol)"
93;"dcp (Device Control Protocol)"
94;"objcall (Tivoli Object Dispatcher)"
95;"SUPDUP, terminal-independent remote login"
96;"dixie (DIXIE Protocol Specification)"
97;"swift-rvf (Swift Remote Virtual File Protocol)"
98;"tacnews (TAC News)"
99;"metagram (Metagram Relay)"
101;"NIC host name"
102;"ISO Transport Service Access Point (TSAP) Class 0 protocol"
104;"Digital Imaging and Communications in Medicine (DICOM, also port 11112)"
105;"CCSO Nameserver"
106;"macOS Server, (macOS) password server"
107;"Remote User Telnet Service (RTelnet)"
108;"IBM Systems Network Architecture (SNA) gateway access server"
109;"Post Office Protocol, version 2 (POP2)"
110;"Post Office Protocol, version 3 (POP3)"
111;"Open Network Computing Remote Procedure Call (ONC RPC)"
113;"Ident, authentication service/identification protocol, used by IRC servers"
113;"Authentication Service (auth), the predecessor to identification protocol"
115;"Simple File Transfer Protocol"
117;"UUCP Mapping Project (path service)"
118;"Structured Query Language (SQL) Services"
119;"Network News Transfer Protocol (NNTP), retrieval of newsgroup messages"
123;"Network Time Protocol (NTP), used for time synchronization"
126;"Formerly Unisys Unitary Login, renamed by Unisys to NXEdit"
135;"DCE endpoint resolution"
135;"Microsoft EPMAP (End Point Mapper), also known as DCE/RPC Locator service"
137;"NetBIOS Name Service, used for name registration and resolution"
138;"NetBIOS Datagram Service"
139;"NetBIOS Session Service"
143;"Internet Message Access Protocol (IMAP), management of electronic mail messages on a server"
151;"HEMS"
152;"Background File Transfer Program (BFTP)"
153;"Simple Gateway Monitoring Protocol (SGMP)"
156;"Structured Query Language (SQL) Service[jargon]"
158;"Distributed Mail System Protocol (DMSP, sometimes referred to as Pcmail)"
161;"Simple Network Management Protocol (SNMP)"
162;"Simple Network Management Protocol Trap (SNMPTRAP)"
165;"Xerox"
169;"SEND"
170;"Network PostScript print server"
177;"X Display Manager Control Protocol (XDMCP)"
179;"Border Gateway Protocol (BGP)"
180;"ris"
194;"Internet Relay Chat (IRC)"
199;"SNMP Unix Multiplexer (SMUX)"
201;"AppleTalk Routing Maintenance"
209;"Quick Mail Transfer Protocol"
210;"ANSI Z39.50"
213;"Internetwork Packet Exchange (IPX)"
218;"Message posting protocol (MPP)"
220;"Internet Message Access Protocol (IMAP), version 3"
259;"Efficient Short Remote Operations (ESRO)"
262;"Arcisdms"
264;"Border Gateway Multicast Protocol (BGMP)"
280;"http-mgmt"
300;"ThinLinc Web Access, Spartan protocol "
308;"Novastor Online Backup"
311;"macOS Server Admin"
312;"macOS Xsan administration"
318;"PKIX Time Stamp Protocol (TSP)"
319;"Precision Time Protocol (PTP) event messages"
320;"Precision Time Protocol (PTP) general messages"
323;"Resource Public Key Infrastructure"
350;"Mapping of Airline Traffic over Internet Protocol (MATIP) type A"
351;"MATIP type B"
356;"cloanto-net-1"
366;"On-Demand Mail Relay (ODMR)"
369;"Rpc2portmap"
370;"codaauth2, Coda authentication server"
370;"securecast1, outgoing packets to NAI's SecureCast serversAs of 2000"
371;"ClearCase albd"
376;"Amiga Envoy Network Inquiry Protocol"
383;"HP data alarm manager"
384;"A Remote Network Server System"
387;"AURP (AppleTalk Update-based Routing Protocol)"
388;"Unidata LDM near real-time data distribution protocol[self-published source][self-published source]"
389;"Lightweight Directory Access Protocol (LDAP)"
399;"Digital Equipment Corporation DECnet+ (Phase V) over TCP/IP"
401;"Uninterruptible power supply (UPS)"
427;"Service Location Protocol (SLP)"
433;"Network News Transfer Protocol (NNTP)"
434;"Mobile IP Agent"
443;"Hypertext Transfer Protocol Secure (HTTPS)"
444;"Simple Network Paging Protocol (SNPP)"
445;"Microsoft Directory Services Active Directory, Windows shares"
445;"Microsoft Directory Services SMB file sharing"
464;"Kerberos Change/Set password"
465;"Message Submission over TLS protocol"
475;"tcpnethaspsrv, Aladdin Knowledge Systems Hasp services"
476;"Centro Software ERP ports"
477;"Centro Software ERP ports"
478;"Centro Software ERP ports"
479;"Centro Software ERP ports"
480;"Centro Software ERP ports"
481;"Centro Software ERP ports"
482;"Centro Software ERP ports"
483;"Centro Software ERP ports"
484;"Centro Software ERP ports"
485;"Centro Software ERP ports"
486;"Centro Software ERP ports"
487;"Centro Software ERP ports"
488;"Centro Software ERP ports"
489;"Centro Software ERP ports"
490;"Centro Software ERP ports"
491;"GO-Global remote access and application publishing software"
497;"Retrospect"
500;"Internet Security Association and Key Management Protocol (ISAKMP) / Internet Key Exchange (IKE)"
502;"Modbus Protocol"
504;"Citadel, multiservice protocol for dedicated clients for the Citadel groupware system"
510;"FirstClass Protocol (FCP)"
512;"Rexec, Remote Process Execution"
512;"comsat, together with biff"
513;"rlogin"
513;"Who"
514;"Remote Shell (Remote Shell, RSH, REMSH)"
514;"Syslog, used for system logging"
515;"Line Printer Daemon (LPD), print service"
517;"Talk"
518;"NTalk"
520;"efs, extended file name server"
520;"Routing Information Protocol (RIP)"
521;"Routing Information Protocol Next Generation (RIPng)"
524;"NetWare Core Protocol (NCP)"
525;"Timed, Timeserver"
530;"Remote procedure call (RPC)"
532;"netnews"
533;"netwall, for emergency broadcasts"
540;"Unix-to-Unix Copy Protocol (UUCP)"
542;"commerce (Commerce Applications)"
543;"klogin, Kerberos login"
544;"kshell, Kerberos Remote shell"
546;"DHCPv6 client"
547;"DHCPv6 server"
548;"Apple Filing Protocol (AFP)"
550;"new-rwho, new-who"
554;"Real Time Streaming Protocol (RTSP)"
556;"Remotefs, RFS, rfs_server"
560;"rmonitor, Remote Monitor"
561;"monitor"
563;"NNTP over TLS/SSL (NNTPS)"
564;"9P (Plan 9)"
585;"Previously assigned for use of Internet Message Access Protocol over TLS/SSL (IMAPS)"
587;"Email Message Submission (No longer preferred, see port 465.)"
591;"FileMaker 6.0 (and later) Web Sharing (HTTP Alternate, also see port 80)"
593;"HTTP RPC Ep Map, Remote procedure call over Hypertext Transfer Protocol"
601;"Reliable Syslog Service"
604;"TUNNEL profile, a protocol for BEEP peers to form an application layer tunnel"
623;"ASF Remote Management and Control Protocol (ASF-RMCP) & IPMI Remote Management Protocol"
625;"Open Directory Proxy (ODProxy)"
631;"Internet Printing Protocol (IPP)"
631;"Common Unix Printing System (CUPS) administration console"
635;"RLZ DBase"
636;"Lightweight Directory Access Protocol over TLS/SSL (LDAPS)"
639;"Multicast Source Discovery Protocol, MSDP"
641;"SupportSoft Nexus Remote Command, a proxy gateway connecting remote control traffic"
643;"SANity"
646;"Label Distribution Protocol (LDP), a routing protocol used in MPLS networks"
647;"DHCP Failover protocol"
648;"Registry Registrar Protocol (RRP)"
651;"IEEE-MMS"
653;"SupportSoft Nexus Remote Command (data), a proxy gateway connecting remote control traffic"
654;"Media Management System (MMS) Media Management Protocol (MMP)"
655;"Tinc VPN daemon"
657;"IBM RMC (Remote monitoring and Control) protocol"
660;"macOS Server administration, version 10.4 and earlier"
666;"Doom, the first online first-person shooter"
666;"airserv-ng, aircrack-ng's server for remote-controlling wireless devices"
674;"Application Configuration Access Protocol (ACAP)"
684;"CORBA IIOP SSL"
688;"REALM-RUSD (ApplianceWare Server Appliance Management Protocol)"
690;"Velneo Application Transfer Protocol (VATP)"
691;"MS Exchange Routing"
694;"Linux-HA high-availability heartbeat"
695;"IEEE Media Management System over SSL (IEEE-MMS-SSL)"
698;"Optimized Link State Routing (OLSR)"
700;"Extensible Provisioning Protocol (EPP)"
701;"Link Management Protocol (LMP)"
702;"IRIS (Internet Registry Information Service) over BEEP (Blocks Extensible Exchange Protocol)"
706;"Secure Internet Live Conferencing (SILC)"
711;"Cisco Tag Distribution Protocol-being replaced by the MPLS Label Distribution Protocol"
712;"Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF)"
749;"Kerberos administration"
750;"kerberos-iv, Kerberos version IV"
751;"kerberos_master, Kerberos authentication"
752;"passwd_server, Kerberos password (kpasswd) server"
753;"Reverse Routing Header (RRH)"
753;"userreg_server, Kerberos userreg server"
754;"tell send"
754;"krb5_prop, Kerberos v5 slave propagation"
760;"krbupdate , Kerberos registration"
782;"Conserver serial-console management server"
783;"SpamAssassin spamd daemon"
800;"mdbs-daemon"
802;"MODBUS/TCP Security"
808;"Microsoft Net.TCP Port Sharing Service"
829;"Certificate Management Protocol"
830;"NETCONF over SSH"
831;"NETCONF over BEEP"
832;"NETCONF for SOAP over HTTPS"
833;"NETCONF for SOAP over BEEP"
843;"Adobe Flash"
847;"DHCP Failover protocol"
848;"Group Domain Of Interpretation (GDOI) protocol"
853;"DNS over TLS"
853;"DNS over QUIC or DNS over DTLS"
860;"iSCSI"
861;"OWAMP control"
862;"TWAMP control"
873;"rsync file synchronization protocol"
888;"CD DataBase protocol (CDDBP)"
888;"IBM Endpoint Manager Remote Control"
897;"Brocade SMI-S RPC"
898;"Brocade SMI-S RPC SSL"
902;"VMware ESXi"
903;"VMware ESXi"
953;"BIND remote name daemon control (RNDC)"
981;"Remote HTTPS management for firewall devices running embedded Check Point VPN-1 software"
987;"Sony PlayStation Wake On Lan"
987;"Microsoft Remote Web Workplace"
988;"Lustre (file system) Protocol (data)"
989;"FTPS Protocol (data), FTP over TLS/SSL"
990;"FTPS Protocol (control), FTP over TLS/SSL"
991;"Netnews Administration System (NAS)"
992;"Telnet protocol over TLS/SSL"
993;"Internet Message Access Protocol over TLS/SSL (IMAPS)"
994;"Previously assigned to Internet Relay Chat over TLS/SSL (IRCS)"
995;"Post Office Protocol 3 over TLS/SSL (POP3S)"
1010;"ThinLinc web-based administration interface"
1023;"z/OS Network File System (NFS) (potentially ports 991-1023)"
1024;"Reserved"
1025;"network blackjack"
1027;"Reserved"
1029;"Microsoft DCOM services"
1058;"nim, IBM AIX Network Installation Manager (NIM)"
1059;"nimreg, IBM AIX Network Installation Manager (NIM)"
1080;"SOCKS proxy"
1085;"WebObjects"
1098;"rmiactivation, Java remote method invocation (RMI) activation"
1099;"rmiregistry, Java remote method invocation (RMI) registry"
1100;"SaltoSystems - Handshake for IP-Components"
1112;"ESET virus updates"
1113;"Licklider Transmission Protocol (LTP) delay tolerant networking protocol"
1119;"Battle.net chat/game protocol, used by Blizzard's games"
1167;"Cisco IP SLA (Service Assurance Agent)"
1194;"OpenVPN"
1198;"The cajo project Free dynamic transparent distributed computing in Java"
1212;"Equalsocial Fediverse protocol"
1214;"Kazaa"
1220;"QuickTime Streaming Server administration"
1234;"Infoseek search agent"
1241;"Nessus Security Scanner"
1270;"Microsoft System Center Operations Manager (SCOM)"
1293;"Internet Protocol Security (IPSec)"
1311;"Windows RxMon.exe"
1314;"Festival Speech Synthesis System server"
1319;"AMX ICSP"
1337;"Men&Mice DNS"
1341;"Qubes (Manufacturing Execution System)"
1344;"Internet Content Adaptation Protocol"
1352;"IBM Lotus Notes/Domino (RPC) protocol"
1360;"Mimer SQL"
1414;"IBM WebSphere MQ (formerly known as MQSeries)"
1417;"Timbuktu Service 1 Port"
1418;"Timbuktu Service 2 Port"
1419;"Timbuktu Service 3 Port"
1420;"Timbuktu Service 4 Port"
1431;"Reverse Gossip Transport Protocol (RGTP)"
1433;"Microsoft SQL Server database management system (MSSQL) server"
1434;"Microsoft SQL Server database management system (MSSQL) monitor"
1476;"WiFi Pineapple Hak5"
1481;"AIRS data interchange"
1492;"Sid Meier's CivNet, a multiplayer remake of the original Sid Meier's Civilization game"
1494;"Citrix Independent Computing Architecture (ICA)"
1500;"IBM Tivoli Storage Manager server"
1501;"IBM Tivoli Storage Manager client scheduler"
1503;"Windows Live Messenger"
1512;"Microsoft's Windows Internet Name Service (WINS)"
1513;"Garena game client"
1521;"nCUBE License Manager"
1524;"ingreslock, ingres"
1527;"Oracle Net Services, formerly known as SQL*Net"
1533;"IBM Sametime Virtual Places Chat"
1534;"Eclipse Target Communication Framework"
1540;"1C:Enterprise server agent (ragent)"
1541;"1C:Enterprise master cluster manager (rmngr)"
1542;"1C:Enterprise configuration repository server"
1545;"1C:Enterprise cluster administration server (RAS)"
1547;"Laplink"
1550;"1C:Enterprise debug server"
1560;"1C:Enterprise cluster working processes"
1561;"1C:Enterprise cluster working processes"
1562;"1C:Enterprise cluster working processes"
1563;"1C:Enterprise cluster working processes"
1564;"1C:Enterprise cluster working processes"
1565;"1C:Enterprise cluster working processes"
1566;"1C:Enterprise cluster working processes"
1567;"1C:Enterprise cluster working processes"
1568;"1C:Enterprise cluster working processes"
1569;"1C:Enterprise cluster working processes"
1570;"1C:Enterprise cluster working processes"
1571;"1C:Enterprise cluster working processes"
1572;"1C:Enterprise cluster working processes"
1573;"1C:Enterprise cluster working processes"
1574;"1C:Enterprise cluster working processes"
1575;"1C:Enterprise cluster working processes"
1576;"1C:Enterprise cluster working processes"
1577;"1C:Enterprise cluster working processes"
1578;"1C:Enterprise cluster working processes"
1579;"1C:Enterprise cluster working processes"
1580;"1C:Enterprise cluster working processes"
1581;"MIL STD 2045-47001 VMF"
1581;"1C:Enterprise cluster working processes"
1582;"IBM Tivoli Storage Manager server web interface"
1582;"1C:Enterprise cluster working processes"
1583;"Pervasive PSQL"
1583;"IBM Tivoli Storage Manager server web interface"
1583;"1C:Enterprise cluster working processes"
1584;"1C:Enterprise cluster working processes"
1585;"1C:Enterprise cluster working processes"
1586;"1C:Enterprise cluster working processes"
1587;"1C:Enterprise cluster working processes"
1588;"1C:Enterprise cluster working processes"
1589;"Cisco VLAN Query Protocol (VQP)"
1589;"1C:Enterprise cluster working processes"
1590;"1C:Enterprise cluster working processes"
1604;"DarkComet remote administration tool (RAT)"
1626;"iSketch"
1627;"iSketch"
1628;"LonTalk normal"
1629;"LonTalk urgent"
1645;"Early deployment of RADIUS"
1646;"Old radacct port,[when?] RADIUS accounting protocol"
1666;"Perforce"
1677;"Novell GroupWise clients in client/server access mode"
1688;"Microsoft Key Management Service (KMS) for Windows Activation"
1701;"Layer 2 Forwarding Protocol (L2F)"
1707;"Windward Studios games (vdmplay)"
1714;"KDE Connect"
1715;"KDE Connect"
1716;"America's Army, a massively multiplayer online game (MMO)"
1716;"KDE Connect"
1717;"KDE Connect"
1718;"KDE Connect"
1719;"H.323 registration and alternate communication"
1719;"KDE Connect"
1720;"H.323 call signaling"
1720;"KDE Connect"
1721;"KDE Connect"
1722;"KDE Connect"
1723;"Point-to-Point Tunneling Protocol (PPTP)"
1723;"KDE Connect"
1724;"KDE Connect"
1725;"KDE Connect"
1726;"KDE Connect"
1727;"KDE Connect"
1728;"KDE Connect"
1729;"KDE Connect"
1730;"KDE Connect"
1731;"KDE Connect"
1732;"KDE Connect"
1733;"KDE Connect"
1734;"KDE Connect"
1735;"KDE Connect"
1736;"KDE Connect"
1737;"KDE Connect"
1738;"KDE Connect"
1739;"KDE Connect"
1740;"KDE Connect"
1741;"KDE Connect"
1742;"KDE Connect"
1743;"KDE Connect"
1744;"KDE Connect"
1745;"KDE Connect"
1746;"KDE Connect"
1747;"KDE Connect"
1748;"KDE Connect"
1749;"KDE Connect"
1750;"KDE Connect"
1751;"KDE Connect"
1752;"KDE Connect"
1753;"KDE Connect"
1754;"KDE Connect"
1755;"Microsoft Media Services (MMS, ms-streaming)"
1755;"KDE Connect"
1756;"KDE Connect"
1757;"KDE Connect"
1758;"KDE Connect"
1759;"KDE Connect"
1760;"KDE Connect"
1761;"Novell ZENworks"
1761;"KDE Connect"
1762;"KDE Connect"
1763;"KDE Connect"
1764;"KDE Connect"
1776;"Emergency management information system"
1801;"Microsoft Message Queuing"
1812;"RADIUS authentication protocol, radius"
1813;"RADIUS accounting protocol, radius-acct"
1863;"Microsoft Notification Protocol (MSNP)"
1880;"Node-RED"
1883;"MQTT (formerly MQ Telemetry Transport)"
1900;"Simple Service Discovery Protocol (SSDP), discovery of UPnP devices"
1935;"Macromedia Flash Communications Server MX, the precursor to Adobe Flash Media Server before Macromedia's acquisition by Adobe on December 3, 2005"
1965;"Gemini, a lightweight, collaboratively designed protocol, striving to fill the gap between Gopher and HTTP"
1967;"Cisco IOS IP Service Level Agreements (IP SLAs) Control Protocol"
1972;"InterSystems Cache, and InterSystems IRIS versions 2020.3 and later"
1984;"Big Brother"
1985;"Cisco Hot Standby Router Protocol (HSRP)"
1998;"Cisco X.25 over TCP (XOT) service"
2000;"Cisco Skinny Client Control Protocol (SCCP)"
2010;"Artemis: Spaceship Bridge Simulator"
2033;"Civilization IV multiplayer"
2049;"Network File System (NFS)"
2056;"Civilization IV multiplayer"
2080;"Autodesk NLM (FLEXlm)"
2082;"cPanel default"
2083;"Secure RADIUS Service"
2086;"GNUnet"
2087;"WebHost Manager default TLS"
2095;"cPanel default web mail"
2096;"cPanel default TLS web mail"
2100;"Warzone 2100 multiplayer"
2101;"Networked Transport of RTCM via Internet Protocol (NTRIP)"
2102;"Zephyr Notification Service server"
2103;"Zephyr Notification Service serv-hm connection"
2104;"Zephyr Notification Service hostmanager"
2123;"GTP control messages (GTP-C)"
2142;"TDMoIP (TDM over IP)"
2152;"GTP user data messages (GTP-U)"
2159;"GDB remote debug port"
2181;"EForward-document transport system"
2195;"Apple Push Notification Service, binary, gateway"
2196;"Apple Push Notification Service, binary, feedback"
2197;"Apple Push Notification Service, HTTP/2, JSON-based API"
2210;"NOAAPORT Broadcast Network"
2211;"EMWIN"
2221;"ESET anti-virus updates"
2222;"EtherNet/IP implicit messaging for IO data"
2222;"ESET Remote administrator"
2223;"ESET Remote administrator"
2224;"ESET Remote administrator"
2225;"ESET Remote administrator"
2226;"ESET Remote administrator"
2240;"General Dynamics Remote Encryptor Configuration Information Protocol (RECIPe)"
2261;"CoMotion master"
2262;"CoMotion backup"
2302;"ArmA multiplayer"
2303;"ArmA multiplayer (default port for game +1)"
2305;"ArmA multiplayer (default port for game +3)"
2351;"AIM game LAN network port"
2368;"Ghost (blogging platform)"
2369;"Default for BMC Control-M/Server Configuration Agent"
2370;"Default for BMC Control-M/Server, Control-M/Server"
2372;"Default for K9 Web Protection/parental controls, content filtering agent"
2375;"Docker REST API (plain)"
2376;"Docker REST API (SSL)"
2377;"Docker Swarm cluster management communications"
2379;"CoreOS etcd client communication"
2380;"CoreOS etcd server communication"
2389;"OpenView Session Mgr"
2399;"FileMaker Data Access Layer (ODBC/JDBC)"
2401;"CVS version control system password-based server"
2404;"IEC 60870-5-104, used to send electric power telecontrol messages between two systems via directly connected data circuits"
2424;"OrientDB database listening for binary client connections"
2427;"Media Gateway Control Protocol (MGCP) media gateway"
2447;"ovwdb-OpenView Network Node Manager (NNM) daemon"
2456;"Valheim"
2459;"XRPL"
2480;"OrientDB database listening for HTTP client connections"
2483;"Oracle database listening for insecure client connections, replaces port 1521"
2484;"Oracle database listening for SSL client connections"
2500;"NetFS communication"
2501;"NetFS probe"
2535;"Multicast Address Dynamic Client Allocation Protocol (MADCAP). All standard messages are UDP datagrams"
2541;"LonTalk/IP"
2546;"EVault data protection services"
2547;"EVault data protection services"
2548;"EVault data protection services"
2593;"Ultima Online servers"
2598;"Citrix Independent Computing Architecture (ICA) with Session Reliability"
2599;"Ultima Online servers"
2628;"DICT"
2638;"SQL Anywhere database server"
2710;"XBT Tracker. UDP tracker extension is considered experimental"
2727;"Media Gateway Control Protocol (MGCP) media gateway controller"
2759;"SuperTuxKart server "
2775;"Short Message Peer-to-Peer (SMPP)"
2809;"corbaloc:iiop URL, per the CORBA 3.0.3 specification"
2811;"gsi ftp, per the GridFTP specification"
2827;"I2P BOB Bridge"
2944;"Megaco text H.248"
2945;"Megaco binary (ASN.1) H.248"
2947;"gpsd, GPS daemon"
2948;"WAP push Multimedia Messaging Service (MMS)"
2949;"WAP push Multimedia Messaging Service (MMS)"
2967;"Symantec System Center agent (SSC-AGENT)"
2989;"Zarkov Intelligent Agent Communication"
3000;"Ruby on Rails development default"
3001;"Honeywell Prowatch"
3004;"iSync"
3010;"KWS Connector"
3020;"Common Internet File System (CIFS). See also port 445 for Server Message Block (SMB), a dialect of CIFS"
3050;"gds-db (Interbase/Firebird databases)"
3052;"APC PowerChute Network"
3074;"Xbox LIVE and Games for Windows - Live"
3101;"BlackBerry Enterprise Server communication protocol"
3128;"Squid caching web proxy"
3225;"Fibre Channel over IP (FCIP)"
3233;"WhiskerControl research control protocol"
3260;"iSCSI"
3268;"msft-gc, Microsoft Global Catalog (LDAP service which contains data from Active Directory forests)"
3269;"msft-gc-ssl, Microsoft Global Catalog over SSL (similar to port 3268, LDAP over SSL)"
3283;"Net Assistant, a predecessor to Apple Remote Desktop"
3290;"Virtual Air Traffic Simulation (VATSIM) network voice communication"
3305;"Odette File Transfer Protocol (OFTP)"
3306;"MySQL database system"
3323;"DECE GEODI Server"
3332;"Thundercloud DataPath Overlay Control"
3333;"Eggdrop, an IRC bot default port"
3344;"Repetier-Server"
3351;"Pervasive PSQL"
3386;"GTP' 3GPP GSM/UMTS CDR logging protocol"
3389;"Microsoft Terminal Server (RDP) officially registered as Windows Based Terminal (WBT)"
3396;"Novell NDPS Printer Agent"
3412;"xmlBlaster"
3423;"Xware xTrm Communication Protocol"
3424;"Xware xTrm Communication Protocol over SSL"
3435;"Pacom Security User Port"
3455;"Resource Reservation Protocol (RSVP)"
3478;"STUN, a protocol for NAT traversal"
3478;"Microsoft Teams"
3479;"PlayStation Network"
3479;"Microsoft Teams"
3480;"PlayStation Network"
3480;"Microsoft Teams"
3481;"Microsoft Teams"
3483;"Slim Devices discovery protocol"
3493;"Network UPS Tools (NUT)"
3503;"MPLS LSP-echo Port"
3516;"Smartcard Port"
3527;"Microsoft Message Queuing"
3535;"SMTP alternate"
3544;"Teredo tunneling"
3551;"Apcupsd Information Port "
3601;"SAP Message Server Port"
3632;"Distcc, distributed compiler"
3645;"Cyc"
3655;"Advanced Systems Concepts, Inc. ActiveBatch Exec Agent"
3659;"Apple SASL, used by macOS Server Password Server"
3667;"Information Exchange"
3671;"KNXnet/IP(EIBnet/IP)"
3689;"Digital Audio Access Protocol (DAAP)"
3690;"Subversion (SVN) version control system"
3702;"Web Services Dynamic Discovery (WS-Discovery)"
3721;"ES File Explorer FTP server"
3724;"Some Blizzard games"
3725;"Netia NA-ER Port"
3749;"CimTrak registered port"
3768;"RBLcheckd server daemon"
3784;"Bidirectional Forwarding Detection (BFD)for IPv4 and IPv6 (Single Hop)"
3785;"VoIP program used by Ventrilo"
3799;"RADIUS change of authorization"
3804;"Harman Professional HiQnet protocol"
3825;"RedSeal Networks client/server connection"
3826;"WarMUX game server"
3830;"System Management Agent, used by Cerner to monitor solutions"
3835;"RedSeal Networks client/server connection"
3856;"ERP Server Application used by F10 Software"
3868;"Diameter base protocol"
3872;"Oracle Enterprise Manager Remote Agent"
3880;"IGRS"
3900;"udt_os, IBM UniData UDT OS"
3960;"Warframe online interaction"
3962;"Warframe online interaction"
3978;"OpenTTD game (masterserver and content service)"
3978;"Palo Alto Networks' Panorama management of firewalls and log collectors"
3979;"OpenTTD game"
3999;"Norman distributed scanning service"
4000;"Diablo II game"
4001;"Microsoft Ants game"
4018;"Protocol information and warnings"
4035;"IBM Rational Developer for System z Remote System Explorer Daemon"
4045;"Solaris lockd NFS lock daemon/manager"
4050;"Mud Master Chat protocol (MMCP)"
4069;"Minger Email Address Verification Protocol"
4070;"Amazon Echo Dot (Amazon Alexa) streaming connection with Spotify"
4089;"OpenCORE Remote Control Service"
4090;"Kerio"
4093;"PxPlus Client server interface ProvideX"
4096;"Ascom Timeplex Bridge Relay Element (BRE)"
4105;"Shofar (ShofarNexus)"
4111;"Xgrid"
4116;"Smartcard-TLS"
4123;"Z-Wave Protocol"
4125;"Microsoft Remote Web Workplace administration"
4172;"Teradici PCoIP"
4190;"ManageSieve"
4195;"AWS protocol for cloud remoting solution"
4197;"Harman International's HControl protocol for control and monitoring of Audio, Video, Lighting and Control equipment"
4198;"Couch Potato Android app"
4200;"Angular app"
4201;"TinyMUD and various derivatives"
4222;"NATS server default port"
4226;"Aleph One, a computer game"
4242;"Orthanc - DICOM server"
4243;"Docker implementations, redistributions, and setups default"
4244;"Viber"
4303;"Simple Railroad Command Protocol (SRCP)"
4307;"TrueConf Client - TrueConf Server media data exchange"
4321;"Referral Whois (RWhois) Protocol"
4433;"SaltoSystems - DTLS Based Communication for NCoder"
4444;"Oracle WebCenter Content: Content Server-Intradoc Socket port"
4444;"I2P HTTP/S proxy"
4445;"I2P HTTP/S proxy"
4486;"Integrated Client Message Service (ICMS)"
4488;"Apple Wide Area Connectivity Service, used by Back to My Mac"
4500;"IPSec NAT Traversal"
4502;"Microsoft Silverlight connectable ports under non-elevated trust"
4503;"Microsoft Silverlight connectable ports under non-elevated trust"
4504;"Microsoft Silverlight connectable ports under non-elevated trust"
4505;"Salt master"
4505;"Microsoft Silverlight connectable ports under non-elevated trust"
4506;"Salt master"
4506;"Microsoft Silverlight connectable ports under non-elevated trust"
4507;"Microsoft Silverlight connectable ports under non-elevated trust"
4508;"Microsoft Silverlight connectable ports under non-elevated trust"
